"time_window","A2","A3","B1","B3","C1","C3"
"2016-09-19 00:00:00","100.19","126.35","91.41166666666668","76.13","154.95363636363638","151.44"
"2016-09-19 00:20:00","52.63","86.15","92.75428571428571","92.20583333333332","182.60666666666668","152.49499999999995"
"2016-09-19 00:40:00","48.14666666666667","98.41055555555558","126.74666666666668","132.89","165.66857142857143","163.78"
"2016-09-19 01:00:00","68.01347826086958","86.11","97.8","63.75","184.69375","268.25666666666666"
"2016-09-19 01:20:00","45.6","63.82","73.6","49.95","144.6275","153.11"
"2016-09-19 01:40:00","47.37722222222222","205.81","93.29666666666668","81.52833333333334","164.14666666666662","191.075"
"2016-09-19 02:00:00","47.98","168.86","107.47","57.48","129.39249999999998","144.39"
"2016-09-19 02:20:00","135.99","89.88125","101.41","91.38111111111112","169.685","241.98"
"2016-09-19 02:40:00","60.45","95.96","146.60500000000005","85.95666666666666","182.83333333333331","173.245"
"2016-09-19 03:00:00","43.39","104.32071428571429","125.24666666666668","103.14666666666666","127.675","189.85"
"2016-09-19 03:20:00","41.66","84.52454545454545","92.37857142857143","95.71363636363635","139.97750000000002","267.5325"
"2016-09-19 03:40:00","47.5","134.59083333333334","95.10666666666668","89.78299999999999","203.98333333333332","104.25"
"2016-09-19 04:00:00","67.16","99.3945","118.81","64.33","160.11166666666668","174.39"
"2016-09-19 04:20:00","89.31","102.35714285714286","98.28333333333332","83.3477777777778","141.95000000000005","148.06"
"2016-09-19 04:40:00","63.08037037037037","113.55666666666669","121.53","87.26769230769231","186.11142857142858","145.225"
"2016-09-19 05:00:00","98.97","139.5","86.9390909090909","82.63307692307693","143.1125","140.904"
"2016-09-19 05:20:00","15.57","92.74","99.66799999999999","76.71","163.88750000000005","189.78500000000003"
"2016-09-19 05:40:00","63.53","94.23","118.87","111.8","169.31","134.74"
"2016-09-19 06:00:00","44.12","102.13","99.62","84.1663157894737","176.16","198.48"
"2016-09-19 06:20:00","76.98","79.3","116.70888888888888","82.62739130434781","123.12","210.19714285714284"
"2016-09-19 06:40:00","68.74","109.62","115.16","103.97846153846152","145.74","153.6533333333333"
"2016-09-19 07:00:00","61.69","126.01","85.53","83.84","170.61","145.33714285714288"
"2016-09-19 07:20:00","68.58","106.12","95.5","109.25","188.04","143.08214285714286"
"2016-09-19 07:40:00","61.77","112.85","110.87","117.45","165.57","164.74600000000004"
"2016-09-19 08:00:00","102.49","122.93","123.73","100.38357142857141","148.59","162.9226666666667"
"2016-09-19 08:20:00","61.68","125.95","146.15","106.68","182.66","164.03533333333334"
"2016-09-19 08:40:00","76.21","125.28","128.91","98.38","147.41","198.08"
"2016-09-19 09:00:00","66.97","132.03","125.58","116.87","144.51","146.91"
"2016-09-19 09:20:00","69.78","123.7","117.72730769230768","161.05","173.31","154.67"
"2016-09-19 09:40:00","141.19","225.87","125.12","126.62","98.89","183.92"
"2016-09-19 10:00:00","130.22","194.35","114.69","67.43","156.85","198.36"
"2016-09-19 10:20:00","121.49","115.72","145.63","77.44","208.0","181.2440909090909"
"2016-09-19 10:40:00","67.63","122.3","117.58","91.36","162.33","113.06"
"2016-09-19 11:00:00","63.53","96.19","124.95370370370372","127.99","167.4","249.29"
"2016-09-19 11:20:00","57.95","110.79","95.97","94.54","137.77","111.96"
"2016-09-19 11:40:00","56.24","106.3","115.18","77.55","178.71703703703704","141.79"
"2016-09-19 12:00:00","76.94","96.76","103.9","95.61","155.72","156.13157894736844"
"2016-09-19 12:20:00","66.7","89.49","106.06","112.17","221.98","190.68"
"2016-09-19 12:40:00","59.57","97.31","139.7","120.52","145.98","153.22"
"2016-09-19 13:00:00","58.0","113.08","122.48807692307692","148.65","189.12","207.23"
"2016-09-19 13:20:00","64.92","150.16","124.98","107.41","140.26","168.59708333333333"
